id,departmentName,description,timestamp,resourceId,authorityId,hierarchyLevel,headAuthorityId
cm725dfx50000u6h4y67rc83j,UP Jal Nigam,Department of UP Jal Nigam,2025-02-12 16:50:44.053,99,cm7258zpa002ru64gd0hooplx,MID,
cm725dg0e0001u6h4by5yx0yk,UP Power Corporation Ltd.,Department of UP Power Corporation Ltd.,2025-02-12 16:50:44.172,950,cm7258zpr002su64g8zkuxzgw,MID,
cm725dg1z0002u6h4amagnkym,Municipal Corporation,Department of Municipal Corporation,2025-02-12 16:50:44.229,361,cm7258zq6002tu64gipf8t8b6,MID,
cm725dg3k0003u6h4e8f3kb9h,Public Works Department,Department of Public Works Department,2025-02-12 16:50:44.284,48,cm7258zgd0023u64ghmpek1vu,MID,
cm725dg560004u6h4g36ue2gh,State Transport Department,Department of State Transport Department,2025-02-12 16:50:44.344,515,cm7258zqy002vu64g5guex098,MID,
cm725dg6o0005u6h4jkjbkawz,Health Department,Department of Health Department,2025-02-12 16:50:44.398,264,cm7258zrc002wu64gwjclntdz,MID,
cm725dg830006u6h44jyrjmcn,Police Department,Department of Police Department,2025-02-12 16:50:44.448,543,cm7258zrp002xu64gaexu8api,MID,
cm725dg9j0007u6h4tzh2udh2,Education Department,Department of Education Department,2025-02-12 16:50:44.501,223,cm7258zs8002yu64gkyzuii00,MID,
cm725dgaz0008u6h4o1r9mtq7,Water Supply Department,Department of Water Supply Department,2025-02-12 16:50:44.554,367,cm7258zsn002zu64g6uiqpez4,MID,
cm725dgc70009u6h4pqcjyeb5,Electricity Department,Department of Electricity Department,2025-02-12 16:50:44.598,718,cm7258zsz0030u64gfqx73pkd,MID,
cm725dgdh000au6h4fagm9twc,Sanitation Department,Department of Sanitation Department,2025-02-12 16:50:44.644,430,cm7258zta0031u64guz3608mn,MID,
cm725dgfe000bu6h40byv631f,UP Police Department,Department of UP Police Department,2025-02-12 16:50:44.713,134,cm7258ztm0032u64gg3lumcc3,MID,
cm725dggi000cu6h4gbmwutvf,Transport Department,Department of Transport Department,2025-02-12 16:50:44.753,330,cm7258zhb0026u64g7thba04h,MID,
cm725dghl000du6h43wv647un,Traffic Police Department,Department of Traffic Police Department,2025-02-12 16:50:44.792,795,cm7258zu80034u64gzkicj7tb,MID,
cm725dgiu000eu6h40hxar6vi,Anti-Corruption Bureau,Department of Anti-Corruption Bureau,2025-02-12 16:50:44.836,538,cm7258zum0035u64gmg0nski9,MID,
cm725dgk6000fu6h4bwj5qyj4,Urban Development Department,Department of Urban Development Department,2025-02-12 16:50:44.884,454,cm7258zhn0027u64gnbo3i4r9,MID,
cm725dgli000gu6h4ldtj08z8,Water Quality Department,Department of Water Quality Department,2025-02-12 16:50:44.931,880,cm7258zv60037u64gf5lkusmj,MID,
cm725dgpg000ru6h4pja8ts0a,स्वास्थ्य विभाग,Department of स्वास्थ्य विभाग,2025-02-12 16:50:45.075,795,cm7258zxr003du64gsxx2fp0t,MID,
cm725dgqu000su6h4g27ffdzk,पुलिस विभाग,Department of पुलिस विभाग,2025-02-12 16:50:45.123,668,cm7258zy2003eu64gjdmo96k0,MID,
cm725dgse000tu6h4upm5zpn9,शिक्षा विभाग,Department of शिक्षा विभाग,2025-02-12 16:50:45.179,489,cm7258zyb003fu64ggxrpcodl,MID,
cm725dgto000uu6h4jaf7uft4,Employment Department,Department of Employment Department,2025-02-12 16:50:45.227,583,cm7258zyo003gu64g552fl4vt,MID,
cm725dgv4000vu6h4pyaidp0c,Consumer Affairs Department,Department of Consumer Affairs Department,2025-02-12 16:50:45.276,582,cm7258zyy003hu64gmam80vrt,MID,
cm725dgwf000wu6h4xx4n22q9,Food and Civil Supplies Department,Department of Food and Civil Supplies Department,2025-02-12 16:50:45.325,7,cm7258zzb003iu64gyzplakt3,MID,
cm725dgxt000xu6h4670vuanc,Energy Department,Department of Energy Department,2025-02-12 16:50:45.374,310,cm7258zzr003ju64ga3aofb6p,MID,
cm725dgzm000yu6h4ywfzbf9r,Finance Department,Department of Finance Department,2025-02-12 16:50:45.441,445,cm7259003003ku64glu1yojkf,MID,
cm725dh1e000zu6h4sxki18bd,Traffic Department,Department of Traffic Department,2025-02-12 16:50:45.504,738,cm725900h003lu64gayhym6fq,MID,
cm725dh2l0010u6h4vffjc33n,Flood Control Department,Department of Flood Control Department,2025-02-12 16:50:45.548,356,cm725900p003mu64gt3kgxkln,MID,
cm725dh400011u6h42dk827m2,Road Safety Department,Department of Road Safety Department,2025-02-12 16:50:45.598,35,cm7258zux0036u64gck1e5544,MID,
cm725dh5e0012u6h479zkreaz,Anti-Corruption Department,Department of Anti-Corruption Department,2025-02-12 16:50:45.648,504,cm725901b003ou64gox1hjcst,MID,
cm725dh6r0013u6h41cjnqq28,Street Lighting Department,Department of Street Lighting Department,2025-02-12 16:50:45.698,221,cm725901m003pu64gnsx714mw,MID,
