id,gpsCoordinatesLongitude,gpsCoordinatesLatitude,location,tehsil,pincode,district,ward
cm725esqh0001u6o4fqh45cks,72.8777,19.0760,Mumbai,Mumbai City,400001,Mumbai,Mumbai City
cm725esv10004u6o4nrb8jenq,73.8567,18.5204,Pune,Haveli,411001,Pune,Pune City
cm725esy40007u6o4pts07jzj,73.1553,18.9894,Navi Mumbai,Thane,400614,Thane,Vashi
cm725et1r000au6o461525sgr,72.8347,19.1520,Thane,Thane,400601,Thane,Thane West
cm725et51000du6o4rp1yurpc,73.7898,18.6738,Pimpri-Chinchwad,Haveli,411044,Pune,PCMC
cm725et7w000gu6o4qbwgpetj,73.0297,19.2183,Kalyan,Kalyan,421301,Thane,Kalyan West
cm725etau000ju6o4ic1ay0tr,79.0882,21.1458,Nagpur,Nagpur City,440001,Nagpur,Nagpur City
cm725etdl000mu6o4ydxjcjsy,73.8711,18.4483,Swargate,Haveli,411042,Pune,Pune City
cm725etgs000pu6o4a663x00i,75.3433,19.8762,Aurangabad,Aurangabad,431001,Aurangabad,Aurangabad City
cm725etke000su6o4tjv5pnkc,73.1892,22.2994,Nashik,Nashik,422001,Nashik,Nashik City
cm725etn6000vu6o4shv34wki,76.5604,20.7002,Amravati,Amravati,444601,Amravati,Amravati City
cm725etqg000yu6o4bfc38mk8,73.2957,16.9942,Ratnagiri,Ratnagiri,415612,Ratnagiri,Ratnagiri City
cm725ettn0011u6o40b6kn1mk,72.9342,19.2147,Dombivli,Kalyan,421201,Thane,Dombivli East
cm725etwl0014u6o4l1jmt5g2,73.7868,18.5619,Shivajinagar,Pune City,411005,Pune,Pune City
cm725eu0c0017u6o4cwcjbo7i,73.0565,19.0176,Panvel,Panvel,410206,Raigad,Panvel City
cm725eu3x001au6o4uonm6tih,73.1365,18.9256,Kharghar,Panvel,410210,Raigad,Kharghar Node
cm725eu89001du6o4cv4pfbh3,72.8479,19.0399,Worli,Mumbai City,400018,Mumbai,Mumbai City
cm725eubj001gu6o45qhc9r1u,72.8369,19.1136,Borivali,Mumbai Suburban,400092,Mumbai,Mumbai Suburban
cm725euey001ju6o4c2cgeo5m,72.9342,19.1579,Mulund,Mumbai Suburban,400080,Mumbai,Mumbai Suburban
cm725euic001mu6o4h6o4h7tk,73.0946,19.2127,Ulhasnagar,Ulhasnagar,421003,Thane,Ulhasnagar Central
cm725eulq001pu6o45n3j9z1q,77.1734,20.3899,Akola,Akola,444001,Akola,Akola City
cm725euoi001su6o4yi65u6k8,73.0912,19.2352,Ambernath,Ambernath,421501,Thane,Ambernath East
cm725eure001vu6o4ou46f71k,73.7898,18.4529,Katraj,Haveli,411046,Pune,Pune City
cm725euus001yu6o49db87a17,73.8353,18.5284,Koregaon Park,Pune City,411001,Pune,Pune City
cm725euxq0021u6o47ot1j9qc,73.0297,19.2183,Badlapur,Ambernath,421503,Thane,Badlapur East
cm725ev1e0024u6o46ndn9p6g,73.7868,18.5619,Kothrud,Pune City,411038,Pune,Pune City
cm725ev4i0027u6o40s7um8u2,73.8567,18.5204,Hadapsar,Pune City,411028,Pune,Pune City
cm725ev74002au6o4mrqogoor,73.1553,18.9894,Belapur,Thane,400614,Thane,CBD Belapur
cm725evad002du6o4jv2m4bsk,72.8777,19.0760,Dadar,Mumbai City,400014,Mumbai,Mumbai City
cm725evdm002gu6o4pqiyjr53,73.8711,18.4483,Bibwewadi,Pune City,411037,Pune,Pune City
cm725evf0002ju6o4xyz123ab,75.8900,19.8500,Jalna,Jalna,431203,Jalna,Jalna City
cm725evf1002ku6o4def456cd,76.1700,20.5300,Buldhana,Buldhana,443001,Buldhana,Buldhana City
cm725evf2002lu6o4ghi789ef,73.3000,17.3300,Chiplun,Chiplun,415605,Ratnagiri,Chiplun City
cm725evf3002mu6o4jkl012gh,74.2300,16.7000,Kolhapur,Karvir,416001,Kolhapur,Kolhapur City
cm725evf4002nu6o4mno345ij,73.1900,18.7500,Alibaug,Alibaug,402201,Raigad,Alibaug City
cm725evf5002ou6o4pqr678kl,74.4700,17.6700,Satara,Satara,415001,Satara,Satara City
cm725evf6002pu6o4stu901mn,74.1900,16.8500,Sangli,Miraj,416416,Sangli,Sangli City
cm725evf7002qu6o4vwx234op,75.9100,19.2600,Parbhani,Parbhani,431401,Parbhani,Parbhani City
